以下は動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回は返答はいりませんが覚えた動画タイトル数だけ教えてください。

仮想通貨とNFTで騙される人②情報漏れとハッキングを防ぐ方法	2 日前	150,897 
仮想通貨とNFTで騙される人①新時代の詐欺に引っかからないために知っておくべき3種の手口	3 日前	291,347 
シリコンバレー銀行破綻②破綻の直接原因と日本はどうなるのか？	5 日前	634,327 
シリコンバレー銀行破綻①アメリカ経済で一体何が起きたのか？	6 日前	834,156 
DAOの入り方と作り方②新時代コミュニティへの参加方法と日本の代表的なDAO	12 日前	249,650 
DAOの入り方と作り方①Web3.0時代の新しい組織作りとは？巨大企業に牛耳られない時代へ	13 日前	408,902 
仮想通貨とWeb3.0革命②押さえておくべき仮想通貨とは？出遅れた日本に逆転の道はあるのか？	2 週間前	535,793 
仮想通貨とWeb3.0革命①ついに銀行と証券会社がなくなる！日本はあと2年で完全敗北？	2 週間前	982,888 
暗号資産②まずはビットコインとイーサリアムを買ってみよう！買い方の手順を解説	2 週間前	331,143 
暗号資産①投資対象だけではなくこれからの時代に不可欠な実用品	2 週間前	525,089 
日本のシン富裕層②移住国の選び方と最強のシン富裕層とは？	3 週間前	447,542 
日本のシン富裕層①なぜ一代で巨万の富を築けたのか？4タイプのシン富裕層と海外移住	3 週間前	787,495 
北朝鮮とミサイル②北朝鮮の瀬戸際外交と体制保証の歴史	3 週間前	429,798 
北朝鮮とミサイル①なぜミサイルを発射し続けるのか？	3 週間前	599,913 
日銀新総裁②金融緩和をやめられない理由とは？植田新総裁はなぜ選ばれた？	1 か月前	516,241 
日銀新総裁①物価高・賃上げできない…日本経済の根本的問題点とは？	1 か月前	748,437 
カジサック②キンコン＆オリラジで新企画始動！？中田は今後どうしたらいいですか？	1 か月前	337,892 
カジサック①一触即発！ネタにされたカジサックと裏切られた中田	1 か月前	566,879 
ChatGPTとBard②AIを制するのはMicrosoftかGoogleか？教育や職業はどう変わる？	1 か月前	729,155 
ChatGPTとBard①AIがついに世界を変える！ネット時代の覇者Google vs 逆襲のMicrosoft	1 か月前	283,771 
中田のテレビ出演に密着爆笑問題、藤森慎吾、チョコプラ、霜降り明星、ハナコ、東京十期會、スカイピース、宮迫博之、けいちょん登場新しいカギ/サンジャポ/WinWinWiiin	1 か月前	305,986 
Part①日本一コンビYouTuber降臨！二人の歴史は大河ドラマWinWinWiiinスカイピース編	1 か月前	911,719 
山本圭壱×西野未姫②交際のきっかけは軍団山本！年末に結婚式を生配信？伝説の夫婦	1 か月前	345,826 
山本圭壱×西野未姫①出会いは殴り合い？年齢差31歳夫婦の馴れ初め伝説の夫婦	1 か月前	547,391 
500万人突破記念③オリラジ×爆笑問題アフタートーク	2 か月前	276,179 
500万人突破記念①オリラジの憧れ爆笑問題とついに初コラボ！	2 か月前	032,493 
中田やまと②芸人vs新世代YouTuberコラボ企画が始動！？	2 か月前	489,326 
中田やまと①レペゼン/スカイピース/ヒカルと競り合った年末の登録者数！2023年YouTube作戦会議	2 か月前	694,076 
藤森ドッキリを入念に準備する中田	2 か月前	355,404 
オリラジの絆を試せ！新年の本気会議からの大熱唱！	2 か月前	719,738 
大晦日への決意表明！	2 か月前	451,918 
防衛費増額と増税②5年間で防衛費43兆円！日本の防衛産業の現状と中国の本気	2 か月前	588,473 
防衛費増額と増税①戦後最大の方針転換！なぜ増税を急いだのか？	3 か月前	752,794 
人望が集まる人の考え方②相手の〇〇を満たせば上手くいく！人間関係の世界的名著	3 か月前	558,787 
人望が集まる人の考え方①失業の理由の大半は才能ではなく人望！人生を左右する必須の技術とは？	3 か月前	773,494 
限りある時間の使い方②目標達成と生産性からの解放…楽しいと思える事を今すぐやる！	3 か月前	607,701 
限りある時間の使い方①時間に追われているあなたへ！忙しさの呪縛から解放される方法とは？	3 か月前	902,511 
お葬式マナー②焼香や弔辞の慣習＆本人が行けない時の対応とは？	3 か月前	172,184 
お葬式マナー①いざという時に役に立つ！服装や挨拶の現代版マナーとは？	3 か月前	333,447 
宇宙ビジネス②宇宙革命時代は日本経済が再生する最大のチャンス！？	3 か月前	349,273 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

宇宙ビジネス①IT長者が次に狙うのは100兆円市場の宇宙産業！	3 か月前	474,280 
中田敦彦独演会②狂気と愛の４時間漫談！結婚、紅白、YouTube！	3 か月前	727,753 
中田敦彦独演会①「俺の人生を喰らえ！」生誕40周年記念ライブ完全公開！	3 か月前	031,941 
芸能事務所の現代史②ジャニーズ誕生秘話！テレビ局vs芸能事務所のスター争奪戦！？	4 か月前	295,851 
芸能事務所の現代史①ナベプロ・ホリプロ・ジャニーズ…芸能界はいかにして誕生したのか？	4 か月前	561,765 
オリラジアカデミーの舞台裏！授業＆OP撮影 感動のメイキング	4 か月前	635,377 
禁断のテレビ史①日本を支配した電通とテレビ局！命がけの超授業オリラジアカデミー	4 か月前	542,111 
中田×やまと②コムドットの海外計画 / スカイピースの炎上騒動に思う事	4 か月前	338,082 
中田×やまと①コムドットがテレビ界に進出 / 2023年のYouTubeはどうなっていく？	4 か月前	512,248 
13歳からの地政学②日本、朝鮮半島、アフリカ、欧州小国の苦悩とは？	4 か月前	623,343 
13歳からの地政学①今こそ知っておくべき世界の仕組み！アメリカが世界最強の理由とは？	4 か月前	124,868 
ハリセンボン②テレビとYouTubeの二刀流 / 2人の恋愛＆結婚観に迫る	4 か月前	274,455 
ハリセンボン①オリラジとの関係は？/ 若手時代の苦悩 / 女性芸人の現代での立ち位置	4 か月前	480,960 
影響力の武器②騙されない消費者になるためにプロの手口から人を説得する方法を学ぶ	4 か月前	616,364 
影響力の武器①ビジネスや恋愛に使える社会心理学の名著！なぜ人は動かされるのか？	4 か月前	365,863 
夢物語covered by WinWinWiiin	4 か月前	772,562 
WinWinWiiin湘南乃風「夢物語 Cover」涙と笑いのレコーディングに密着特別編Part③	4 か月前	363,885 
チョコレートプラネット②東京吉本芸人の苦悩 / テレビスターを目指すチョコプラ / YouTubeで冠番組を作る中田	4 か月前	354,612 
チョコレートプラネット①コラボドタキャンの真相 / テレビとYouTubeへの本音を語り合う	4 か月前	752,006 
ベルサイユのばら②美しく散る主人公たちに中田が涙…男性に求められる唯一の条件とは？	5 か月前	479,770 
ベルサイユのばら①少女漫画の歴史的名作！マリー・アントワネットの生涯を描いた愛の物語	5 か月前	740,337 
2人で叶えたい夢オリラジの冠番組をついに実現させよう後編	5 か月前	238,705 
藤森の自宅凸オリラジの新しい作戦について話そう前編	5 か月前	377,650 
台湾有事②アメリカと日本も関わる中国台湾戦争の基本的シナリオとは？	5 か月前	901,001 
台湾有事①中国台湾戦争の影響で日本で戦争が起こる可能性はあるのか？	5 か月前	296,421 
庄司ミキティ夫妻②人気芸人とトップアイドルの禁断の恋から結婚までの軌跡伝説の夫婦	5 か月前	965,889 
庄司ミキティ夫妻①出会いはナンパ？ミキティを口説き落とすまでの馴れ初め伝説の夫婦	5 か月前	044,036 
五輪汚職〜安倍政治と検察②戦後最長の安倍政権vs検察人事への介入	5 か月前	470,693 
五輪汚職〜安倍政治と検察①東京五輪でなぜ汚職が相次いで起きてしまったのか？政権と検察の関係にも迫る！	6 か月前	808,647 
ウクライナ戦争の現状と今後②戦争の落としどころは？台湾戦争への影響はあるのか？	6 か月前	677,356 
ウクライナ戦争の現状と今後①ロシアの侵攻開始から現在に至るまでの流れを解説！	6 か月前	014,842 
ジョジョの奇妙な冒険 第5部②ジョルノ・ジョバァーナvsディアボロ最終バトル！アリアリアリアリアリ アリーヴェデルチ！	6 か月前	564,124 
ジョジョの奇妙な冒険 第5部①最高の群像劇「黄金の風」を全力解説ッッッ！！！覚悟はいいか？俺はできてる。	6 か月前	635,716 
原発新増設②再稼働と新世代原発建設…エネルギー政策の課題とは？	6 か月前	436,665 
原発新増設①日本のエネルギー政策が大転換する背景とは？	6 か月前	659,306 
国葬②岸田政権の思惑と保守層への配慮	6 か月前	468,061 
国葬①安倍晋三元首相の国葬をどう考える？その歴史と論点を解説！	6 か月前	769,646 
旧統一教会②教団の歴史と特徴を知れば今の問題点が見えてくる！	7 か月前	125,472 
旧統一教会①なぜ人々は信者になったのか？その教義と勧誘システムをついに解説	7 か月前	163,196 
ギャンブル依存症②勝っても負けてもやめられない！ギャンブルという快楽しくじり列伝	7 か月前	906,854 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

ギャンブル依存症①106億8000万円を熔かした男・井川意高はなぜギャンブルにハマってしまったのか？しくじり列伝	7 か月前	069,650 
ひろゆき式子育ての極意②お金教育/ネットとSNS/いじめ問題…ひろゆきならどうする？	7 か月前	438,408 
ひろゆき式子育ての極意①「勉強しなさい」から子供の幸せは生まれない	7 か月前	940,613 
やせたい人はカロリー制限をやめなさい②太らない食べ方＆どっちが太りやすい	7 か月前	524,425 
やせたい人はカロリー制限をやめなさい①気にするべきはカロリーではなく血糖値の上昇率だった！？	7 か月前	892,924 
説明が上手い人、下手な人②説明上手の共通点は自分よりも相手ファースト	7 か月前	651,352 
説明が上手い人、下手な人①説明上手になれば仕事・恋愛・人間関係が上手くいく！	7 か月前	802,769 
WinWinWiiin加藤浩次編緊張の収録舞台裏＆チョコプラと奇跡の再会！	7 か月前	777,978 
Part①禁断の扉を開き、狂犬参戦！神回確定の大乱戦WinWinWiiin加藤浩次編	7 か月前	936,873 
お金の生み出し方②初心者がゼロからお金を増やしていく小さなステップとは？	7 か月前	583,882 
お金の生み出し方①稼げるようになるために押さえるべきポイントと、ありがちな思い込みとは！？	7 か月前	947,594 
中田家の夏休み2022③アメリカディズニーの絶叫観覧車＆ラスベガスに初上陸福田萌のYouTubeコラボ企画	7 か月前	238,761 
